Datetime,R1
2020-08-24 00:00:00,195.422
2020-08-24 01:00:00,164.393
2020-08-24 02:00:00,146.456
2020-08-24 03:00:00,139.325
2020-08-24 04:00:00,128.718
2020-08-24 05:00:00,130.672
2020-08-24 06:00:00,144.894
2020-08-24 07:00:00,163.097
2020-08-24 08:00:00,180.286
2020-08-24 09:00:00,198.168
2020-08-24 10:00:00,199.592
2020-08-24 11:00:00,204.038
2020-08-24 12:00:00,214.592
2020-08-24 13:00:00,208.07
2020-08-24 14:00:00,220.447
2020-08-24 15:00:00,220.911
2020-08-24 16:00:00,218.871
2020-08-24 17:00:00,221.857
2020-08-24 18:00:00,229.06
2020-08-24 19:00:00,226.574
2020-08-24 20:00:00,227.551
2020-08-24 21:00:00,235.613
2020-08-24 22:00:00,208.166
2020-08-24 23:00:00,200.065
2020-08-25 00:00:00,192.522
2020-08-25 01:00:00,161.333
2020-08-25 02:00:00,147.466
2020-08-25 03:00:00,138.486
2020-08-25 04:00:00,130.692
2020-08-25 05:00:00,125.47
2020-08-25 06:00:00,145.555
2020-08-25 07:00:00,169.062
2020-08-25 08:00:00,188.128
2020-08-25 09:00:00,209.049
2020-08-25 10:00:00,209.225
2020-08-25 11:00:00,204.516
2020-08-25 12:00:00,210.366
2020-08-25 13:00:00,218.348
2020-08-25 14:00:00,214.022
2020-08-25 15:00:00,208.24
2020-08-25 16:00:00,196.665
2020-08-25 17:00:00,214.153
2020-08-25 18:00:00,213.437
2020-08-25 19:00:00,235.808
2020-08-25 20:00:00,242.343
2020-08-25 21:00:00,222.868
2020-08-25 22:00:00,216.213
2020-08-25 23:00:00,213.506
2020-08-26 00:00:00,199.172
2020-08-26 01:00:00,177.863
2020-08-26 02:00:00,159.745
2020-08-26 03:00:00,142.982
2020-08-26 04:00:00,134.544
2020-08-26 05:00:00,138.218
2020-08-26 06:00:00,149.986
2020-08-26 07:00:00,171.306
2020-08-26 08:00:00,192.599
2020-08-26 09:00:00,207.359
2020-08-26 10:00:00,206.45
2020-08-26 11:00:00,208.66
2020-08-26 12:00:00,210.268
2020-08-26 13:00:00,217.157
2020-08-26 14:00:00,216.578
2020-08-26 15:00:00,214.968
2020-08-26 16:00:00,213.632
2020-08-26 17:00:00,216.256
2020-08-26 18:00:00,216.079
2020-08-26 19:00:00,219.995
2020-08-26 20:00:00,218.433
2020-08-26 21:00:00,212.5
2020-08-26 22:00:00,205.424
2020-08-26 23:00:00,208.724
2020-08-27 00:00:00,200.475
2020-08-27 01:00:00,176.605
2020-08-27 02:00:00,158.604
2020-08-27 03:00:00,145.187
2020-08-27 04:00:00,129.149
2020-08-27 05:00:00,122.534
2020-08-27 06:00:00,144.519
2020-08-27 07:00:00,173.742
2020-08-27 08:00:00,199.415
2020-08-27 09:00:00,217.182
2020-08-27 10:00:00,215.873
2020-08-27 11:00:00,208.963
2020-08-27 12:00:00,219.593
2020-08-27 13:00:00,216.897
2020-08-27 14:00:00,211.624
2020-08-27 15:00:00,204.92
2020-08-27 16:00:00,211.74
2020-08-27 17:00:00,215.637
2020-08-27 18:00:00,212.566
2020-08-27 19:00:00,222.018
2020-08-27 20:00:00,202.157
2020-08-27 21:00:00,210.04
2020-08-27 22:00:00,207.574
2020-08-27 23:00:00,207.542
2020-08-28 00:00:00,200.74
2020-08-28 01:00:00,166.03
2020-08-28 02:00:00,158.067
2020-08-28 03:00:00,146.11
2020-08-28 04:00:00,146.807
2020-08-28 05:00:00,140.549
2020-08-28 06:00:00,155.436
2020-08-28 07:00:00,177.368
2020-08-28 08:00:00,200.456
2020-08-28 09:00:00,217.449
2020-08-28 10:00:00,163.461
2020-08-28 11:00:00,217.726
2020-08-28 12:00:00,223.138
2020-08-28 13:00:00,222.078
2020-08-28 14:00:00,216.336
2020-08-28 15:00:00,211.194
2020-08-28 16:00:00,200.7
2020-08-28 17:00:00,210.976
2020-08-28 18:00:00,216.835
2020-08-28 19:00:00,223.835
2020-08-28 20:00:00,227.553
2020-08-28 21:00:00,215.997
2020-08-28 22:00:00,211.71
2020-08-28 23:00:00,204.298
2020-08-29 00:00:00,207.686
2020-08-29 01:00:00,187.469
2020-08-29 02:00:00,173.948
2020-08-29 03:00:00,156.995
2020-08-29 04:00:00,150.435
2020-08-29 05:00:00,148.884
2020-08-29 06:00:00,152.485
2020-08-29 07:00:00,160.666
2020-08-29 08:00:00,171.618
2020-08-29 09:00:00,185.916
2020-08-29 10:00:00,159.332
2020-08-29 11:00:00,206.429
2020-08-29 12:00:00,213.187
2020-08-29 13:00:00,215.622
2020-08-29 14:00:00,211.92
2020-08-29 15:00:00,206.096
2020-08-29 16:00:00,207.721
2020-08-29 17:00:00,209.688
2020-08-29 18:00:00,211.845
2020-08-29 19:00:00,223.338
2020-08-29 20:00:00,227.832
2020-08-29 21:00:00,219.977
2020-08-29 22:00:00,211.94
2020-08-29 23:00:00,210.406
2020-08-30 00:00:00,205.838
2020-08-30 01:00:00,190.199
2020-08-30 02:00:00,175.978
2020-08-30 03:00:00,165.499
2020-08-30 04:00:00,163.797
2020-08-30 05:00:00,157.538
2020-08-30 06:00:00,162.266
2020-08-30 07:00:00,165.128
2020-08-30 08:00:00,167.63
2020-08-30 09:00:00,183.271
2020-08-30 10:00:00,204.851
2020-08-30 11:00:00,220.543
2020-08-30 12:00:00,226.674
2020-08-30 13:00:00,211.685
2020-08-30 14:00:00,221.831
2020-08-30 15:00:00,220.748
2020-08-30 16:00:00,223.814
2020-08-30 17:00:00,228.311
2020-08-30 18:00:00,234.659
2020-08-30 19:00:00,239.962
2020-08-30 20:00:00,242.337
2020-08-30 21:00:00,232.901
2020-08-30 22:00:00,213.868
2020-08-30 23:00:00,211.493
2020-08-31 00:00:00,222.572
2020-08-31 01:00:00,192.28
2020-08-31 02:00:00,181.873
2020-08-31 03:00:00,174.107
2020-08-31 04:00:00,158.131
2020-08-31 05:00:00,155.893
2020-08-31 06:00:00,175.344
2020-08-31 07:00:00,195.143
2020-08-31 08:00:00,221.14
2020-08-31 09:00:00,238.057
2020-08-31 10:00:00,238.927
2020-08-31 11:00:00,241.289
2020-08-31 12:00:00,247.825
2020-08-31 13:00:00,259.346
2020-08-31 14:00:00,258.234
2020-08-31 15:00:00,243.4
2020-08-31 16:00:00,255.053
2020-08-31 17:00:00,261.851
2020-08-31 18:00:00,236.638
2020-08-31 19:00:00,269.14
2020-08-31 20:00:00,253.862
2020-08-31 21:00:00,252.685
2020-08-31 22:00:00,239.981
2020-08-31 23:00:00,228.73
2020-09-01 00:00:00,225.97
2020-09-01 01:00:00,195.307
2020-09-01 02:00:00,178.979
2020-09-01 03:00:00,159.202
2020-09-01 04:00:00,149.432
2020-09-01 05:00:00,138.34
2020-09-01 06:00:00,165.703
2020-09-01 07:00:00,206.568
2020-09-01 08:00:00,234.903
2020-09-01 09:00:00,258.159
2020-09-01 10:00:00,255.656
2020-09-01 11:00:00,240.244
