Datetime,R1,R2,R3,R4,R5,R6
2020-08-24 00:00:00,195.422,21.033,23.986,17.069,5.788,18.11
2020-08-24 01:00:00,164.393,16.177,21.957,13.287,4.094,16.437
2020-08-24 02:00:00,146.456,14.391,25.695,11.237,5.851,3.126
2020-08-24 03:00:00,139.325,14.278,26.725,12.247,5.688,2.762
2020-08-24 04:00:00,128.718,9.675,21.466,14.5,4.934,2.438
2020-08-24 05:00:00,130.672,4.377,16.707,14.564,3.245,2.799
2020-08-24 06:00:00,144.894,9.43,19.364,15.928,3.515,6.862
2020-08-24 07:00:00,163.097,15.114,17.873,13.356,3.441,13.414
2020-08-24 08:00:00,180.286,18.826,21.329,15.871,5.258,17.504
2020-08-24 09:00:00,198.168,23.136,26.441,21.429,6.56,22.547
2020-08-24 10:00:00,199.592,20.589,25.431,18.256,5.98,20.088
2020-08-24 11:00:00,204.038,22.962,27.144,19.991,5.983,23.263
2020-08-24 12:00:00,214.592,24.248,28.826,21.986,8.063,24.247
2020-08-24 13:00:00,208.07,24.946,30.61,23.654,7.251,25.244
2020-08-24 14:00:00,220.447,25.721,32.093,25.039,7.247,27.514
2020-08-24 15:00:00,220.911,26.497,31.304,24.554,7.477,28.191
2020-08-24 16:00:00,218.871,25.483,31.089,24.275,8.5,27.008
2020-08-24 17:00:00,221.857,25.726,31.627,23.583,6.843,27.278
2020-08-24 18:00:00,229.06,27.635,37.721,27.482,7.974,30.068
2020-08-24 19:00:00,226.574,28.749,38.789,28.154,8.774,29.793
2020-08-24 20:00:00,227.551,24.964,36.796,25.73,8.673,30.764
2020-08-24 21:00:00,235.613,28.747,38.014,29.335,9.519,28.143
2020-08-24 22:00:00,208.166,26.099,30.141,22.049,9.459,24.312
2020-08-24 23:00:00,200.065,24.374,28.484,19.008,9.697,20.296
2020-08-25 00:00:00,192.522,22.151,23.866,16.725,7.193,18.203
2020-08-25 01:00:00,161.333,18.737,17.29,11.335,3.96,15.718
2020-08-25 02:00:00,147.466,17.487,16.603,12.069,6.02,5.121
2020-08-25 03:00:00,138.486,18.443,15.484,11.284,6.128,1.704
2020-08-25 04:00:00,130.692,15.121,18.001,13.909,5.492,2.023
2020-08-25 05:00:00,125.47,6.006,21.053,15.636,6.85,2.797
2020-08-25 06:00:00,145.555,11.201,20.681,15.245,5.292,7.098
2020-08-25 07:00:00,169.062,16.699,19.141,13.854,4.38,12.416
2020-08-25 08:00:00,188.128,19.89,24.104,17.602,5.601,16.791
2020-08-25 09:00:00,209.049,22.314,27.227,19.235,7.458,21.696
2020-08-25 10:00:00,209.225,22.826,28.225,18.098,7.639,21.207
2020-08-25 11:00:00,204.516,20.968,27.506,18.31,7.678,21.51
