Date;Hour;R1;R2;R3;R4;R5;R6
24/08/2020;00:00:00;100209;9885;11802;8783;2893;9076
24/08/2020;00:30:00;95213;11148;12184;8286;2895;9034
24/08/2020;01:00:00;85383;9647;9769;6320;1681;8104
24/08/2020;01:30:00;79010;6530;12188;6967;2413;8333
24/08/2020;02:00:00;74321;7071;12501;5720;2812;1696
24/08/2020;02:30:00;72135;7320;13194;5517;3039;1430
24/08/2020;03:00:00;71303;6902;13416;6355;3047;1427
24/08/2020;03:30:00;68022;7376;13309;5892;2641;1335
24/08/2020;04:00:00;64955;6898;12983;7172;2942;1213
24/08/2020;04:30:00;63763;2777;8483;7328;1992;1225
24/08/2020;05:00:00;64204;2381;8401;7242;1653;1211
24/08/2020;05:30:00;66468;1996;8306;7322;1592;1588
24/08/2020;06:00:00;66366;2452;9471;8393;1790;1560
24/08/2020;06:30:00;78528;6978;9893;7535;1725;5302
24/08/2020;07:00:00;80863;7531;8902;6257;1803;6102
24/08/2020;07:30:00;82234;7583;8971;7099;1638;7312
24/08/2020;08:00:00;87078;8479;9874;6891;2222;7598
24/08/2020;08:30:00;93208;10347;11455;8980;3036;9906
24/08/2020;09:00:00;97840;11082;12178;10313;3163;10782
24/08/2020;09:30:00;100328;12054;14263;11116;3397;11765
24/08/2020;10:00:00;100402;10290;13061;9779;3134;10031
24/08/2020;10:30:00;99190;10299;12370;8477;2846;10057
24/08/2020;11:00:00;100388;11398;12873;9280;2765;11345
24/08/2020;11:30:00;103650;11564;14271;10711;3218;11918
24/08/2020;12:00:00;104562;11935;14100;10464;4120;11437
24/08/2020;12:30:00;110030;12313;14726;11522;3943;12810
24/08/2020;13:00:00;98037;12145;14472;10671;3514;11266
24/08/2020;13:30:00;110033;12801;16138;12983;3737;13978
24/08/2020;14:00:00;110401;12452;16257;13203;3340;14153
24/08/2020;14:30:00;110046;13269;15836;11836;3907;13361
24/08/2020;15:00:00;110742;13713;15682;12333;3831;13737
24/08/2020;15:30:00;110169;12784;15622;12221;3646;14454
24/08/2020;16:00:00;110703;12990;15239;12407;4733;13886
24/08/2020;16:30:00;108168;12493;15850;11868;3767;13122
24/08/2020;17:00:00;108894;12664;15330;11302;3341;13182
24/08/2020;17:30:00;112963;13062;16297;12281;3502;14096
24/08/2020;18:00:00;117033;13461;17265;13261;3664;15011
24/08/2020;18:30:00;112027;14174;20456;14221;4310;15057
24/08/2020;19:00:00;115463;15274;21502;14791;5225;15249
24/08/2020;19:30:00;111111;13475;17287;13363;3549;14544
24/08/2020;20:00:00;99809;10028;15559;12395;4172;13042
24/08/2020;20:30:00;127742;14936;21237;13335;4501;17722
24/08/2020;21:00:00;123105;14769;19687;15907;4366;13258
24/08/2020;21:30:00;112508;13978;18327;13428;5153;14885
24/08/2020;22:00:00;107079;13145;15327;11740;4471;12975
