activation,loss,n_batch,n_epochs,n_neurons,steps_in,steps_out,modelo,RMSE_global,RMSE_t+1,RMSE_t+2,RMSE_t+3
relu,mse,16,500,[50],3,3,../results/models/modelo_0_RMSE_16.9445.keras,16.94447567520369,9.16488304825732,16.14402406358961,22.731501786479335
relu,mse,16,500,[50],5,3,../results/models/modelo_1_RMSE_14.9632.keras,14.963227669337414,7.157906894902251,13.700424965206865,20.802818835675172
relu,mse,16,500,[50],7,3,../results/models/modelo_2_RMSE_12.6416.keras,12.641631277140172,6.803527743579868,12.08581038675028,16.943368070704366
relu,mse,16,500,[50],14,3,../results/models/modelo_3_RMSE_10.2998.keras,10.299752604187521,7.732671815454594,10.813543877825659,11.896544309975743
relu,mse,16,500,[50],30,3,../results/models/modelo_4_RMSE_8.9520.keras,8.952048992989504,6.245805248066218,9.00640956618753,10.967773112531441
relu,mse,16,500,[100],3,3,../results/models/modelo_5_RMSE_15.7132.keras,15.713173999651872,8.286541896303971,14.778490930539926,21.298848340855304
relu,mse,16,500,[100],5,3,../results/models/modelo_6_RMSE_12.7621.keras,12.76205491154368,6.778890453081676,11.996074738008964,17.284414129526912
relu,mse,16,500,[100],7,3,../results/models/modelo_7_RMSE_12.5554.keras,12.555377077074645,7.073481792240326,12.321654722571887,16.46375294017622
relu,mse,16,500,[100],14,3,../results/models/modelo_8_RMSE_9.3027.keras,9.302656868772495,6.3093135449607445,9.476812567679199,11.401791990858852
relu,mse,16,500,[100],30,3,../results/models/modelo_9_RMSE_8.5489.keras,8.548850078346872,6.2855627144235084,8.92796618238223,10.001581584701603
relu,mse,16,500,[150],3,3,../results/models/modelo_10_RMSE_14.9361.keras,14.936115791395286,7.666099035816419,13.905508764777101,20.42377086552981
relu,mse,16,500,[150],5,3,../results/models/modelo_11_RMSE_13.7252.keras,13.72523438829511,8.131510342558702,13.621044996415943,17.705701053485274
relu,mse,16,500,[150],7,3,../results/models/modelo_12_RMSE_12.1494.keras,12.149388857271557,6.665243439233437,11.635795712602224,16.21745161379945
relu,mse,16,500,[150],14,3,../results/models/modelo_13_RMSE_10.4597.keras,10.459653570681333,7.172339350903884,10.434504232018899,12.957304045342738
relu,mse,16,500,[150],30,3,../results/models/modelo_14_RMSE_8.2100.keras,8.209971981523585,5.645032959607273,8.462466782056769,9.936356407644622
relu,mse,16,500,"[50, 50]",3,3,../results/models/modelo_15_RMSE_12.8587.keras,12.85873072256542,7.537149722678069,12.756014630023666,16.628780237975946
relu,mse,16,500,"[50, 50]",5,3,../results/models/modelo_16_RMSE_14.0744.keras,14.074402973593926,7.832639193080163,13.456427954015995,18.75741899032835
relu,mse,16,500,"[50, 50]",7,3,../results/models/modelo_17_RMSE_11.0472.keras,11.047237903634295,6.486763586888951,10.719167055119485,14.461872344573358
